order_delivered_customer_month,product_category_name_english,total_revenue,total_revenue_ranking,order_count,order_count_ranking
2017-03-01,fashion_underwear_beach,270.0,41,6,35
2017-03-01,agro_industry_and_commerce,241.0,44,6,35
2017-03-01,tablets_printing_image,594.0,38,6,35
2017-03-01,home_confort,631.0,36,5,38
2017-03-01,food_drink,86.0,46,4,39
2017-03-01,fashio_female_clothing,254.0,43,3,40
2017-03-01,industry_commerce_and_business,357.0,40,3,40
2017-03-01,home_construction,600.0,37,3,40
2017-03-01,kitchen_dining_laundry_garden_furniture,188.0,45,3,40
2017-03-01,art,65.0,49,3,40
2017-03-01,drinks,260.0,42,2,45
2017-03-01,construction_tools_construction,76.0,47,2,45
2017-03-01,books_technical,75.0,48,2,45
2017-03-01,construction_tools_safety,379.0,39,1,48
2017-03-01,computers,3549.0,24,1,48
2017-03-01,cine_photo,59.0,50,1,48
2017-03-01,fashion_sport,40.0,51,1,48
2017-03-01,music,28.0,52,1,48
2017-03-01,home_appliances_2,14.0,53,1,48
2017-03-01,home_comfort_2,13.0,54,1,48
2017-04-01,bed_bath_table,18483.0,3,196,1
2017-04-01,furniture_decor,13536.0,10,134,2
2017-04-01,health_beauty,15645.0,6,132,3
2017-04-01,sports_leisure,14838.0,9,128,4
2017-04-01,telephony,7825.0,14,125,5
2017-04-01,housewares,8291.0,13,114,6
2017-04-01,computers_accessories,19233.0,2,96,7
2017-04-01,cool_stuff,15309.0,8,85,8
2017-04-01,toys,10179.0,12,85,8
2017-04-01,perfumery,15492.0,7,81,10
2017-04-01,garden_tools,16894.0,4,80,11
2017-04-01,watches_gifts,19416.0,1,62,12
2017-04-01,auto,12149.0,11,55,13
2017-04-01,,5817.0,17,44,14
2017-04-01,office_furniture,7064.0,16,43,15
2017-04-01,fashion_bags_accessories,3430.0,21,43,15
2017-04-01,stationery,3384.0,22,40,17
2017-04-01,luggage_accessories,5565.0,18,32,18
2017-04-01,pet_shop,4964.0,19,31,19
2017-04-01,electronics,2634.0,24,31,19
2017-04-01,baby,2263.0,26,28,21
2017-04-01,consoles_games,7597.0,15,26,22
2017-04-01,small_appliances,16799.0,5,18,23
2017-04-01,furniture_living_room,3570.0,20,18,23
2017-04-01,home_confort,2701.0,23,14,25
2017-04-01,air_conditioning,2045.0,27,11,26
2017-04-01,musical_instruments,2286.0,25,11,26
2017-04-01,fashion_shoes,1015.0,30,11,26
2017-04-01,food,940.0,31,10,29
2017-04-01,market_place,632.0,35,9,30
2017-04-01,books_general_interest,782.0,32,7,31
2017-04-01,home_construction,1246.0,29,6,32
2017-04-01,tablets_printing_image,564.0,36,6,32
2017-04-01,fixed_telephony,708.0,34,6,32
2017-04-01,fashion_male_clothing,318.0,41,5,35
2017-04-01,fashion_underwear_beach,292.0,42,5,35
2017-04-01,audio,340.0,39,4,37
2017-04-01,dvds_blu_ray,1874.0,28,4,37
2017-04-01,kitchen_dining_laundry_garden_furniture,319.0,40,4,37
2017-04-01,home_comfort_2,343.0,38,3,40
2017-04-01,signaling_and_security,128.0,44,3,40
2017-04-01,home_appliances,94.0,47,3,40
2017-04-01,drinks,204.0,43,2,43
2017-04-01,fashion_sport,100.0,46,2,43
2017-04-01,costruction_tools_tools,729.0,33,1,45
2017-04-01,home_appliances_2,400.0,37,1,45
2017-04-01,costruction_tools_garden,11.0,52,1,45
2017-04-01,art,110.0,45,1,45
2017-04-01,cine_photo,59.0,48,1,45
2017-04-01,music,35.0,49,1,45
2017-04-01,la_cuisine,24.0,50,1,45
2017-04-01,food_drink,14.0,51,1,45
2017-05-01,bed_bath_table,34178.0,5,323,1
2017-05-01,sports_leisure,37755.0,3,295,2
2017-05-01,health_beauty,42332.0,2,277,3
2017-05-01,housewares,21380.0,11,258,4
2017-05-01,computers_accessories,45362.0,1,255,5
2017-05-01,furniture_decor,24549.0,9,248,6
2017-05-01,cool_stuff,32894.0,6,225,7
2017-05-01,telephony,10322.0,19,214,8
2017-05-01,toys,22195.0,10,189,9
2017-05-01,perfumery,24716.0,8,149,10
2017-05-01,garden_tools,27985.0,7,142,11
2017-05-01,watches_gifts,35524.0,4,126,12
2017-05-01,auto,17536.0,12,111,13
2017-05-01,baby,7495.0,21,97,14
2017-05-01,,10634.0,17,90,15
2017-05-01,fashion_bags_accessories,5669.0,23,79,16
2017-05-01,pet_shop,10713.0,16,72,17
2017-05-01,electronics,8033.0,20,67,18
2017-05-01,luggage_accessories,12154.0,15,65,19
2017-05-01,stationery,7164.0,22,64,20
2017-05-01,office_furniture,13425.0,13,64,20
2017-05-01,home_confort,5244.0,25,33,22
2017-05-01,market_place,5457.0,24,29,23
2017-05-01,home_appliances,1836.0,34,27,24
2017-05-01,fashion_shoes,1584.0,36,26,25
2017-05-01,books_general_interest,1973.0,33,23,26
2017-05-01,musical_instruments,10403.0,18,22,27
2017-05-01,consoles_games,2253.0,30,21,28
2017-05-01,small_appliances,13117.0,14,20,29
2017-05-01,audio,2114.0,32,19,30
2017-05-01,furniture_living_room,2698.0,27,17,31
2017-05-01,tablets_printing_image,2132.0,31,11,32
2017-05-01,food_drink,354.0,46,10,33
2017-05-01,fixed_telephony,799.0,42,10,33
2017-05-01,kitchen_dining_laundry_garden_furniture,879.0,39,9,35
2017-05-01,air_conditioning,1416.0,38,9,35
2017-05-01,costruction_tools_garden,2679.0,28,8,37
2017-05-01,home_appliances_2,1706.0,35,8,37
2017-05-01,home_construction,2450.0,29,7,39
2017-05-01,furniture_bedroom,2761.0,26,7,39
2017-05-01,fashion_male_clothing,846.0,40,6,41
2017-05-01,food,613.0,43,5,42
2017-05-01,fashion_underwear_beach,92.0,53,5,42
2017-05-01,art,380.0,45,4,44
2017-05-01,fashio_female_clothing,283.0,48,4,44
2017-05-01,fashion_sport,165.0,50,4,44
2017-05-01,dvds_blu_ray,75.0,55,4,44
2017-05-01,agro_industry_and_commerce,1520.0,37,3,48
2017-05-01,books_technical,312.0,47,3,48
2017-05-01,costruction_tools_tools,804.0,41,2,50
2017-05-01,furniture_mattress_and_upholstery,219.0,49,2,50
2017-05-01,cine_photo,118.0,51,2,50
2017-05-01,signaling_and_security,81.0,54,2,50
2017-05-01,industry_commerce_and_business,520.0,44,2,50
2017-05-01,books_imported,20.0,59,1,55
